store_name	store_number	address	address2	city	state	zip_code	country	phone_number	latitude	longitude	store_hours	store_type	other_fields
Joliet, JCPenney at Westfield Louis Joliet		3340 MALL LOOP DRIVE SPACE 2	Joliet, IL 60431	Joliet	Illinois	60431	Sephora inside JCPenney	(815) 439-1400			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Fairview Heights, JCPenney at St Clair Square		245 St Clair Sq	Fairview Heights, IL 62208-2199	Fairview Heights	Illinois	62208-2199	Sephora inside JCPenney	(618) 632-2300			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Chicago, JCPenney at Ford City Mall		7601 S Cicero Ave	Chicago, IL 60652	Chicago	Illinois	60652	Sephora inside JCPenney	(773) 581-6600			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Johnsburg, JCPenney at Shops at Fox River		2940 Commerce Dr	Johnsburg, IL 60051-5409	Johnsburg	Illinois	60051-5409	Sephora inside JCPenney	(815) 271-9147			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Algonquin, JCPenney at Shops at Fox River		800 S Randall Rd	Algonquin, IL 60102-5932	Algonquin	Illinois	60102-5932	Sephora inside JCPenney	(847) 915-3267			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Aurora, JCPenney at Westfield Fox Valley Mall		4 FOX VALLEY CTR	Aurora, IL 60504	Aurora	Illinois	60504	Sephora inside JCPenney	(630) 851-6380			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Rapid City, JCPenney at Rushmore Mall		2200 N Maple Ave.	Rapid City, ID 57701	Rapid City	Idaho	57701	Sephora inside JCPenney	(605) 342-9400			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-18:00	Store	
Idaho Falls, JCPenney at Grand Teton Mall		2320 E 17Th St	Idaho Falls, ID 83404	Idaho Falls	Idaho	83404	Sephora inside JCPenney	(208) 523-3071			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Boise, JCPenney at Boise Towne Square Mall		300 N MILWAUKEE ST	Boise, ID 83704	Boise	Idaho	83704	Sephora inside JCPenney	(208) 376-0555			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Waycross, JCPenney at The Mall at Waycross		2215 Memorial Dr	Waycross, GA 31501	Waycross	Georgia	31501	Sephora inside JCPenney	(912) 283-2655			Mo-Sa 10:00-21:00; Su 12:30-18:00	Store	
Nampa, JCPenney at Nampa Gateway Center		1200 N Happy Valley Rd	Nampa, ID 83687-8598	Nampa	Idaho	83687-8598	Sephora inside JCPenney	(208) 442-5511			Mo-Sa 10:00-21:00; Su 12:00-19:00	Store	
Valdosta, JCPenney at Valdosta Mall		1700 Norman Dr	Valdosta, GA 31601	Valdosta	Georgia	31601	Sephora inside JCPenney	(229) 244-4150			Mo-Sa 10:00-21:00; Su 13:00-18:00	Store	
Savannah, JCPenney at Oglethorpe Mall		7804 ABERCORN ST	Savannah, GA 31406	Savannah	Georgia	31406	Sephora inside JCPenney	(912) 355-4000			Mo-Fr 10:00-21:00; Sa 09:00-21:00; Su 12:00-19:00	Store	
Newnan, JCPenney at Newnan Crossing		341 Newnan Crossing Byp	Newnan, GA 30265	Newnan	Georgia	30265	Sephora inside JCPenney	(770) 251-5834			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Mcdonough, JCPenney at South Point Shopping Center		1380 Hwy 20 W	Mcdonough, GA 30253-7303	Mcdonough	Georgia	30253-7303	Sephora inside JCPenney	(770) 957-0312			Mo-Fr 10:00-22:00; Sa 09:00-22:00; Su 11:00-20:00	Store	
Lithonia, JCPenney at Mall at Stonecrest		8040 Mall Pkwy	Lithonia, GA 30038-2542	Lithonia	Georgia	30038-2542	Sephora inside JCPenney	(770) 484-5604			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Kennesaw, JCPenney at Town Center at Cobb		400 Ernest W Barrett Pkwy	Kennesaw, GA 30144-4917	Kennesaw	Georgia	30144-4917	Sephora inside JCPenney	(770) 514-7101			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Hiram, JCPenney at Hiram Square		5043 Jimmy Lee Smith Pkwy	Hiram, GA 30141-2733	Hiram	Georgia	30141-2733	Sephora inside JCPenney	(770) 250-1860			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Douglasville, JCPenney at Arbor Place Mall		6650 Douglas Blvd	Douglasville, GA 30135	Douglasville	Georgia	30135	Sephora inside JCPenney	(678) 715-5669			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Fayetteville, JCPenney at Banks Crossing Shopping Center		240 Banks Crossing	Fayetteville, GA 30214	Fayetteville	Georgia	30214	Sephora inside JCPenney	(770) 460-2095			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Buford, JCPenney at Mall of Georgia		3333 Buford Dr	Buford, GA 30519-4930	Buford	Georgia	30519-4930	Sephora inside JCPenney	(770) 831-0252			Mo-Sa 10:00-21:00; Su 11:00-18:30	Store	
Augusta, JCPenney at Augusta Mall		3450 Wrightsboro Rd	Augusta, GA 30909	Augusta	Georgia	30909	Sephora inside JCPenney	(706) 736-1201			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Columbus, JCPenney at Peachtree Mall		3507 Manchester Expy	Columbus, GA 31909	Columbus	Georgia	31909	Sephora inside JCPenney	(706) 322-4035			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Athens, JCPenney at Georgia Square		3700 Atlanta Hwy	Athens, GA 30606	Athens	Georgia	30606	Sephora inside JCPenney	(706) 543-1458			Mo-Sa 10:00-21:00; Su 00:00-18:00	Store	
Alpharetta, JCPenney at North Point Mall		2000 N POINT CIR	Alpharetta, GA 30022	Alpharetta	Georgia	30022	Sephora inside JCPenney	(770) 475-9850			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Albany, JCPenney at Albany Mall		2601 Dawson Rd	Albany, GA 31707-6801	Albany	Georgia	31707-6801	Sephora inside JCPenney	(229) 435-1401			Mo-Sa 10:00-21:00; Su 12:30-18:00	Store	
Wesley Chapel, JCPenney at Shops at Wiregrass		28151 State Rd 56	Wesley Chapel, FL 33543-8805	Wesley Chapel	Florida	33543-8805	Sephora inside JCPenney	(813) 907-7266			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Vero Beach, JCPenney at Indian River Mall		6200 20Th St  Ste 700	Vero Beach, FL 32966	Vero Beach	Florida	32966	Sephora inside JCPenney	(772) 569-1600			Mo-Sa 10:00-21:00; Su 12:00-17:30	Store	
Wellington, JCPenney at Wellington Green Shopping Center		10308 W Forest Hill Blvd	Wellington, FL 33414-3106	Wellington	Florida	33414-3106	Sephora inside JCPenney	(561) 333-3399			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Tampa, JCPenney at Westshore Plaza		201 Westshore Plaza	Tampa, FL 33609	Tampa	Florida	33609	Sephora inside JCPenney	(813) 286-7111			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Tallahassee, JCPenney at Governors Square		1500 Apalachee Pkwy	Tallahassee, FL 32301-3087	Tallahassee	Florida	32301-3087	Sephora inside JCPenney	(850) 878-8111			Mo-Th 10:00-21:30; Fr 10:00-22:00; Sa 09:00-22:00; Su 11:00-19:00	Store	
St Petersburg, JCPenney at Tyrone Square		7000 Tyrone Sq	St Petersburg, FL 33710-3937	St Petersburg	Florida	33710-3937	Sephora inside JCPenney	(727) 344-2611			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Spring Hill, JCPenney at Nature Coast Commons		5181 Pepper St	Spring Hill, FL 34607-3935	Spring Hill	Florida	34607-3935	Sephora inside JCPenney	(352) 683-4715			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Sarasota, JCPenney at Westfield Sarasota		8201 S TAMIAMI TRAIL	Sarasota, FL 34238	Sarasota	Florida	34238	Sephora inside JCPenney	(941) 921-7911			Mo-Th 10:00-21:00; Fr-Sa 09:00-21:00; Su 11:00-19:00	Store	
Port Charlotte, JCPenney at Port Charlotte Town Center		1441 Tamiami Trail	Port Charlotte, FL 33948	Port Charlotte	Florida	33948	Sephora inside JCPenney	(941) 624-4006			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Sanford, JCPenney at Seminole Towne Center		310 Towne Center Cir	Sanford, FL 32771-7410	Sanford	Florida	32771-7410	Sephora inside JCPenney	(407) 323-1310			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Pompano Beach, JCPenney at Pompano Citi Centre		1600 NE 23rd St	Pompano Beach, FL 33062	Pompano Beach	Florida	33062	Sephora inside JCPenney	(954) 946-1600			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Pensacola, JCPenney at University Town Plz		7171 N Davis Hwy and Rt 10	Pensacola, FL 32504	Pensacola	Florida	32504	Sephora inside JCPenney	(850) 478-4500			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Plantation, JCPenney at Plantation Westfield Mall		8000 West Broward Blvd	Plantation, FL 33388-0900	Plantation	Florida	33388-0900	Sephora inside JCPenney	(954) 472-2500			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Pembroke Pines, JCPenney at Pembroke Lakes Mall		11401 Pines Blvd	Pembroke Pines, FL 33026-4117	Pembroke Pines	Florida	33026-4117	Sephora inside JCPenney	(954) 433-2445			Mo-Th 10:00-21:00; Fr-Sa 10:00-21:30; Su 11:00-19:00	Store	
Panama Beach, JCPenney at Pier Park		206 Bluefish Dr	Panama Beach, FL 32413	Panama Beach	Florida	32413	Sephora inside JCPenney	(850) 233-8423			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Orlando, JCPenney at Orlando Fashion Square		3115 E Colonial Dr	Orlando, FL 32803	Orlando	Florida	32803	Sephora inside JCPenney	(407) 896-1006			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Orlando, JCPenney at Florida Mall		8001 S Orange Blossom	Orlando, FL 32809-7684	Orlando	Florida	32809-7684	Sephora inside JCPenney	(407) 851-5200			Mo-Fr 10:00-21:00; Sa 10:00-22:00; Su 11:00-19:00	Store	
Orange Park, JCPenney at Orange Park Mall		1910 Wells Rd	Orange Park, FL 32073-2329	Orange Park	Florida	32073-2329	Sephora inside JCPenney	(904) 264-2772			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Naples, JCPenney at Coastland Shopping Center		2076 9TH ST N	Naples, FL 34102	Naples	Florida	34102	Sephora inside JCPenney	(239) 261-6010			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Miami, JCPenney at Southland Mall		20505 S Dixie Hwy	Miami, FL 33189	Miami	Florida	33189	Sephora inside JCPenney	(305) 252-9836			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Miami, JCPenney at Miami International Mall		1603 NW 107th Ave	Miami, FL 33172-2707	Miami	Florida	33172-2707	Sephora inside JCPenney	(305) 477-1786			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Miami, JCPenney at Dadeland Mall		7201 N Kendall Dr	Miami, FL 33156-7874	Miami	Florida	33156-7874	Sephora inside JCPenney	(305) 666-1911			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Merritt Island, JCPenney at Merritt Square Mall		777 E MERRITT ISL CSWY STE 210	Merritt Island, FL 32952	Merritt Island	Florida	32952	Sephora inside JCPenney	(321) 452-6811			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Melbourne, JCPenney at Melbourne Square		1700 W NEW HAVEN AVE	Melbourne, FL 32904	Melbourne	Florida	32904	Sephora inside JCPenney	(321) 727-0923			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Lakeland, JCPenney at Lakeland Square		3800 US Hwy 98 N	Lakeland, FL 33809-3800	Lakeland	Florida	33809-3800	Sephora inside JCPenney	(863) 858-7900			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Jacksonville, JCPenney at Regency Square Mall		9501 Arlington Expy	Jacksonville, FL 32225-8293	Jacksonville	Florida	32225-8293	Sephora inside JCPenney	(904) 721-2820			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Jacksonville, JCPenney at Avenues Center		10308 Southside Blvd	Jacksonville, FL 32256-0750	Jacksonville	Florida	32256-0750	Sephora inside JCPenney	(904) 363-1741			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Jensen Beach, JCPenney at Treasure Coast Sq		3382 Nw Federal Hwy	Jensen Beach, FL 34957	Jensen Beach	Florida	34957	Sephora inside JCPenney	(772) 692-1010			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Hialeah, JCPenney at Westland Mall		1655 W 49th St	Hialeah, FL 33012-2966	Hialeah	Florida	33012-2966	Sephora inside JCPenney	(305) 823-9880			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Kissimmee, JCPenney at Loop West		2001 W Osceola Pkwy	Kissimmee, FL 34741-0731	Kissimmee	Florida	34741-0731	Sephora inside JCPenney	(407) 847-5922			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Fort Myers, JCPenney at Gulf Coast Town Center		10083 Gulf Center Dr	Fort Myers, FL 33913	Fort Myers	Florida	33913	Sephora inside JCPenney	(239) 481-2844			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Gainesville, JCPenney at Oaks Mall		6481 Newberry Rd	Gainesville, FL 32605-4398	Gainesville	Florida	32605-4398	Sephora inside JCPenney	(352) 331-2222			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Fort Myers, JCPenney at Edison Mall		4125 CLEVELAND AVE STE 903	Fort Myers, FL 33901	Fort Myers	Florida	33901	Sephora inside JCPenney	(239) 936-8101			Mo-Sa 10:00-21:00; Su 11:30-17:30	Store	
Daytona Beach, JCPenney at Volusia Mall		1700 W INTL SPEEDWAY	Daytona Beach, FL 32114	Daytona Beach	Florida	32114	Sephora inside JCPenney	(386) 255-0971			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Davenport, JCPenney at Posner Commons		6200 Grandview Pkwy	Davenport, FL 33837-2305	Davenport	Florida	33837-2305	Sephora inside JCPenney	(863) 424-7137			Mo-Th 10:00-21:00; Fr 10:00-22:00; Sa 10:00-21:00; Su 11:00-18:00	Store	
Clermont, JCPenney at Clermont Landing		2345 S Hwy 27	Clermont, FL 34711-6877	Clermont	Florida	34711-6877	Sephora inside JCPenney	(352) 241-0206			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Coral Springs, JCPenney at Coral Square Mall		9303 W Atlantic Blvd	Coral Springs, FL 33071-6900	Coral Springs	Florida	33071-6900	Sephora inside JCPenney	(954) 752-8116			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Clearwater, JCPenney at Countryside Mall		27001 US Hwy 19 N	Clearwater, FL 33761-3499	Clearwater	Florida	33761-3499	Sephora inside JCPenney	(727) 796-2191			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Citrus Park, JCPenney at Citrus Park Mall		8102 Citrus Park Town Ctr	Citrus Park, FL 33625	Citrus Park	Florida	33625	Sephora inside JCPenney	(813) 926-4380			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Brandon, JCPenney at Brandon Town Center		331 Brandon Town Center Mall	Brandon, FL 33511-4723	Brandon	Florida	33511-4723	Sephora inside JCPenney	(813) 681-9800			Mo-Fr 10:00-21:00; Sa 09:30-21:30; Su 11:00-19:00	Store	
Altamonte Springs, JCPenney at Altamonte Mall		451 E ALTAMONTE DR STE 1301	Altamonte Springs, FL 32701	Altamonte Springs	Florida	32701	Sephora inside JCPenney	(407) 332-9600			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Boynton Beach, JCPenney at Boyton Beach Mall		801 N Congress Ave	Boynton Beach, FL 33426-3399	Boynton Beach	Florida	33426-3399	Sephora inside JCPenney	(561) 736-8500			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Dover, JCPenney at Dover Mall		1365 N DUPONT HWY STE 5000	Dover, DE 19901	Dover	Delaware	19901	Sephora inside JCPenney	(302) 674-4200			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Newark, JCPenney at Christiana Mall		606 CHRISTIANA MALL	Newark, DE 19702	Newark	Delaware	19702	Sephora inside JCPenney	(302) 366-7680			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Aventura, JCPenney at Aventura Mall		19525 Biscayne Blvd	Aventura, FL 33180-2397	Aventura	Florida	33180-2397	Sephora inside JCPenney	(305) 937-0022			Mo-Sa 10:00-21:30; Su 11:00-20:00	Store	
Wilmington, JCPenney at Prices Corner Shopping Center		3236 Kirkwood Hwy	Wilmington, DE 19808	Wilmington	Delaware	19808	Sephora inside JCPenney	(302) 998-1131			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Waterbury, JCPenney at Brass Mill Center		525 UNION ST	Waterbury, CT 6706	Waterbury	Connecticut	6706	Sephora inside JCPenney	(203) 575-1395			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Manchester, JCPenney at Shoppes at Buckland		344 V Buckland Hls Dr Ste 7000	Manchester, CT 6042	Manchester	Connecticut	6042	Sephora inside JCPenney	(860) 644-6633			Mo-Th 10:00-21:00; Fr-Sa 10:00-21:30; Su 11:00-18:00	Store	
Farmington, JCPenney at Westfarms Mall		300 Westfarms Mall	Farmington, CT 6032	Farmington	Connecticut	6032	Sephora inside JCPenney	(860) 521-7850			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Westminster, JCPenney at Orchards at Westminster		14658 DELAWARE ST	Westminster, CO 80023	Westminster	Colorado	80023	Sephora inside JCPenney	(303) 280-1120			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Pueblo, JCPenney at Pueblo Mall		3301 Dillon Dr	Pueblo, CO 81008	Pueblo	Colorado	81008	Sephora inside JCPenney	(719) 544-3943			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Littleton, JCPenney at Southwest Plaza		8501 W Bowles Ave	Littleton, CO 80123	Littleton	Colorado	80123	Sephora inside JCPenney	(303) 933-9200			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Lone Tree, JCPenney at Park Meadows Mall		8417 S PARK MEADOWS CENTER DR	Lone Tree, CO 80124	Lone Tree	Colorado	80124	Sephora inside JCPenney	(303) 768-9130			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Montrose, JCPenney at River Landing Shopping Center		3400 Rio Grande Ave	Montrose, CO 81401-4834	Montrose	Colorado	81401-4834	Sephora inside JCPenney	(970) 249-1988			Mo-Fr 10:00-22:00; Sa 09:00-22:00; Su 10:00-20:00	Store	
Fort Collins, JCPenney at College Avenue		135 BOCKMAN DR	Fort Collins, CO 80525	Fort Collins	Colorado	80525	Sephora inside JCPenney	(970) 223-1481			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Grand Junction, JCPenney at Mesa Mall		2424 US 6th and 50th	Grand Junction, CO 81505	Grand Junction	Colorado	81505	Sephora inside JCPenney	(970) 242-6733			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Colorado Springs, JCPenney at First & Main Town Center		3650 New Center Pt	Colorado Springs, CO 80922-2817	Colorado Springs	Colorado	80922-2817	Sephora inside JCPenney	(719) 550-4660			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Denver, JCPenney at Northfield Stapleton		8568 E 49th Ave	Denver, CO 80238-3143	Denver	Colorado	80238-3143	Sephora inside JCPenney	(303) 576-6661			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Aurora, JCPenney at Southlands S/C		6302 S Central St	Aurora, CO 80016	Aurora	Colorado	80016	Sephora inside JCPenney	(303) 693-8454			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Yuba City, JCPenney at Yuba Sutter Mall		1199 Colusa Ave	Yuba City, CA 95991	Yuba City	California	95991	Sephora inside JCPenney	(530) 671-5701			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Aurora, JCPenney at Aurora Mall		14200 E ALAMEDA AVE	Aurora, CO 80012	Aurora	Colorado	80012	Sephora inside JCPenney	(303) 344-9901			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Brighton, JCPenney at Prairie Center		1950 Prairie Center Pkwy	Brighton, CO 80601-7066	Brighton	Colorado	80601-7066	Sephora inside JCPenney	(303) 219-9392			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Whittier, JCPenney at Whittwood Town Center		15740 WHITTWOOD LANE	Whittier, CA 90603	Whittier	California	90603	Sephora inside JCPenney	(562) 947-2511			Mo-Th 10:00-21:00; Fr 10:00-22:00; Sa 10:00-21:00; Su 10:00-20:00	Store	
West Covina, JCPenney at West Covina Fashion Plaza		1203 Plaza Dr	West Covina, CA 91790-2885	West Covina	California	91790-2885	Sephora inside JCPenney	(626) 960-3711			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-19:00	Store	
Visalia, JCPenney at Visalia Mall		2115 S Mooney Blvd	Visalia, CA 93277-6289	Visalia	California	93277-6289	Sephora inside JCPenney	(559) 732-4171			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 10:00-19:00	Store	
Victorville, JCPenney at Mall of Victor Valley		14370 Bear Valley Road	Victorville, CA 92392	Victorville	California	92392	Sephora inside JCPenney				Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-19:00	Store	
Ventura, JCPenney at Pacific View Mall		377 S MILLS RD	Ventura, CA 93003	Ventura	California	93003	Sephora inside JCPenney	(805) 642-7592			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Torrance, JCPenney at Del Amo Center		21840 S Hawthorne Blvd	Torrance, CA 90503-7000	Torrance	California	90503-7000	Sephora inside JCPenney	(310) 371-6577			Mo-Th 10:00-21:00; Fr 10:00-22:00; Sa 10:00-21:00; Su 11:00-19:00	Store	
Santa Rosa, JCPenney at Coddingtown Mall		800 Coddingtown Mall	Santa Rosa, CA 95401-3570	Santa Rosa	California	95401-3570	Sephora inside JCPenney	(707) 542-2014			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Thousand Oaks, JCPenney at The Oaks Mall		280 Hillcrest Dr	Thousand Oaks, CA 91360-4294	Thousand Oaks	California	91360-4294	Sephora inside JCPenney	(805) 497-6811			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-19:00	Store	
San Jose, JCPenney at Eastridge Shopping Center		2230 Eastridge Loop	San Jose, CA 95122-1347	San Jose	California	95122-1347	Sephora inside JCPenney	(408) 238-0300			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Stockton, JCPenney at Weberstown Shopping Center		4915 Claremont Ave	Stockton, CA 95207-5787	Stockton	California	95207-5787	Sephora inside JCPenney	(209) 951-1110			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Temecula, JCPenney at Promenade Mall		40640 WINCHESTER RD	Temecula, CA 92591	Temecula	California	92591	Sephora inside JCPenney	(951) 296-5558			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Santa Clarita, JCPenney at Westfield Valencia Town Center		24140 MAGIC MOUNTAIN PKY	Santa Clarita, CA 91355	Santa Clarita	California	91355	Sephora inside JCPenney	(661) 255-9864			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Santa Ana, JCPenney at Santa Ana Mainplace		2890 N Main St	Santa Ana, CA 92705-6605	Santa Ana	California	92705-6605	Sephora inside JCPenney	(714) 953-9640			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-19:00	Store	
San Diego, JCPenney at Fashion Valley Mall		6987 Friars Road	San Diego, CA 92108-1299	San Diego	California	92108-1299	Sephora inside JCPenney	(619) 291-6050			Mo-Fr 10:00-21:00; Sa 09:00-21:00; Su 11:00-19:00	Store	
San Bruno, JCPenney at Tanforan Shopping Center		1122 El Camino Real	San Bruno, CA 94066-1389	San Bruno	California	94066-1389	Sephora inside JCPenney	(650) 873-4100			Mo-Sa 10:00-21:00; Su 10:00-20:00	Store	
Salinas, JCPenney at Northridge Mall		100 Northridge Mall	Salinas, CA 93906-2097	Salinas	California	93906-2097	Sephora inside JCPenney	(831) 449-8111			Mo-Sa 10:00-21:00; Su 10:00-19:00	Store	
San Bernardino , JCPenney at Inland Center		500 Inland Center Dr	San Bernardino , CA 92408	San Bernardino 	California	92408	Sephora inside JCPenney				Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Roseville, JCPenney at Galleria at Roseville		1125 Galleria Blvd	Roseville, CA 95678-1917	Roseville	California	95678-1917	Sephora inside JCPenney	(916) 772-8800			Mo-Sa 10:00-21:00; Su 10:00-19:00	Store	
Sacramento, JCPenney at Arden Fair Mall		1695 Arden Way	Sacramento, CA 95815-4004	Sacramento	California	95815-4004	Sephora inside JCPenney	(916) 564-0315			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Riverside, JCPenney at Galleria at Tyler		3605 GALLERIA AT TYLER	Riverside, CA 92503	Riverside	California	92503	Sephora inside JCPenney	(951) 687-3060			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Pleasanton, JCPenney at Stoneridge Shopping Center		1500 Stoneridge Mall Rd	Pleasanton, CA 94588-3276	Pleasanton	California	94588-3276	Sephora inside JCPenney	(925) 463-9780			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Redlands, JCPenney at Redlands Town Center		10000 Alabama St	Redlands, CA 92374-2062	Redlands	California	92374-2062	Sephora inside JCPenney	(909) 335-8111			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Redding, JCPenney at Mt Shasta Mall		950 DANA DR	Redding, CA 96003	Redding	California	96003	Sephora inside JCPenney	(530) 223-0100			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Palm Desert, JCPenney at Palm Desert Town Center		72900 Hwy 111	Palm Desert, CA 92260	Palm Desert	California	92260	Sephora inside JCPenney	(760) 346-1511			Mo-Sa 10:00-21:00; Su 10:00-19:00	Store	
Rancho Cucamonga, JCPenney at Victoria Gardens		12399 S Main Street	Rancho Cucamonga, CA 91739-8810	Rancho Cucamonga	California	91739-8810	Sephora inside JCPenney	(909) 646-8911			Mo-Th 10:00-21:00; Fr-Sa 10:00-22:00; Su 10:00-20:00	Store	
Northridge, JCPenney at Northridge Fashion Center		9301 Tampa Ave	Northridge, CA 91324-2503	Northridge	California	91324-2503	Sephora inside JCPenney	(818) 885-1464			Mo-Th 10:00-21:00; Fr 10:00-22:00; Sa 10:00-21:00; Su 11:00-19:00	Store	
Palmdale, JCPenney at Antelope Valley Mall		1131 W Rancho Vista Blvd	Palmdale, CA 93551-3945	Palmdale	California	93551-3945	Sephora inside JCPenney	(661) 947-3169			Mo-Sa 10:00-21:00; Su 11:00-20:00	Store	
National City, JCPenney at Plaza Bonita		3040 Plaza Bonita Rd	National City, CA 91950-8097	National City	California	91950-8097	Sephora inside JCPenney	(619) 267-6000			Mo-Th 10:00-21:00; Fr 10:00-22:00; Sa 10:00-21:00; Su 10:00-20:00	Store	
Moreno Valley, JCPenney at Moreno Valley Mall		22450 TOWN CIR	Moreno Valley, CA 92553	Moreno Valley	California	92553	Sephora inside JCPenney	(951) 653-1055			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Montebello, JCPenney at Montebello Mall		1600 Town Center Dr	Montebello, CA 90640-2197	Montebello	California	90640-2197	Sephora inside JCPenney	(323) 727-7833			Mo-Th 10:00-21:00; Fr 10:00-22:00; Sa 10:00-21:00; Su 10:00-20:00	Store	
Modesto, JCPenney at Vintage Faire Mall		3401 Dale Road	Modesto, CA 95356-0505	Modesto	California	95356-0505	Sephora inside JCPenney	(209) 527-5000			Mo-Fr 10:00-21:00; Sa-Su 10:00-19:00	Store	
